bill_number,sponsor,quote,global_issues,placeholder,source_url,release_title,release_date
S.438,"Zellnor Myrie","""Our bill brings greater transparency to the industry and helps New Yorkers access affordable drugs.""","Health Care; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-affordable-health,"Affordable Health Care & Rx Costs Package",2026-02-24
S.371,"James Skoufis","""My bills will bring down prices by authorizing importation and fair pharmacy reimbursement.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-affordable-health,"Affordable Health Care & Rx Costs Package",2026-02-24
S.5939B,"James Skoufis","""My bills will bring down prices by authorizing importation and fair pharmacy reimbursement.""","Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-protect-access-affordable-health,"Affordable Health Care & Rx Costs Package",2026-02-24
S.122A,"Cordell Cleare","""No amount of lead is safe in any form or fashion.""","Environment; Children",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-passes-legislation-strengthen-climate-and,"Climate & Environmental Protections Package",2026-02-10
S.672A,"Michelle Hinchey","""My bill unlocks existing funding streams so municipalities can respond to contamination.""","Clean Water; Environment",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-passes-legislation-strengthen-climate-and,"Climate & Environmental Protections Package",2026-02-10
S.4574B,"Rachel May","""I'm grateful the Senate is advancing this bill for comprehensive, statewide PFAS testing.""","Clean Water",false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-passes-legislation-strengthen-climate-and,"Climate & Environmental Protections Package",2026-02-10
S.4513,"Jessica Ramos","""S.4513 makes clear environmental permitting must center public health and community participation.""",Environment,false,https://www.nysenate.gov/newsroom/press-releases/2026/new-york-state-senate-passes-legislation-strengthen-climate-and,"Climate & Environmental Protections Package",2026-02-10
S.1012A,"Samra G. Brouk","""My bill will prevent utility companies from using ratepayer funds for political activities.""",Utilities,false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-stand-utility-corporations-lower,"Utility Accountability Package",2026-02-04
S.5553C,"Leroy Comrie","""The Rate Hike Notice Act puts ratepayers first with communication, fairness, and common sense.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-stand-utility-corporations-lower,"Utility Accountability Package",2026-02-04
S.1847,"Leroy Comrie","""The Rate Hike Notice Act puts ratepayers first with communication, fairness, and common sense.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-stand-utility-corporations-lower,"Utility Accountability Package",2026-02-04
S.7328A,"Michelle Hinchey","""This refocuses the Public Service Commission on ensuring reliable, affordable energy access.""",Utilities,false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-stand-utility-corporations-lower,"Utility Accountability Package",2026-02-04
S.1896,"Shelley B. Mayer","""This prioritizes New Yorkers' right to stable utility rates that are as low as possible.""",Utilities,false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-stand-utility-corporations-lower,"Utility Accountability Package",2026-02-04
S.5593,"Shelley B. Mayer","""This bill addresses 'rate compression,' where utilities retroactively recover rate increases from consumers.""",Utilities,false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-stand-utility-corporations-lower,"Utility Accountability Package",2026-02-04
S.1327,"Kevin S. Parker","""This package sets real guardrails on utility practices and strengthens transparency.""","Utilities; Consumer Protection",false,https://www.nysenate.gov/newsroom/press-releases/2026/state-senate-advances-legislation-stand-utility-corporations-lower,"Utility Accountability Package",2026-02-04
S.135,"Cordell Cleare","""This legislation makes certain that those who need support to access care will receive it.""","Reproductive Health",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.3155,"Jeremy Cooney","""I sponsor my IVF legislation to give New Yorkers more options when building a family.""","Reproductive Health",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.1633A,"Nathalia Fernandez","""We seek to put power back into the hands of patients over their health information.""","Data Privacy; Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.5981,"Nathalia Fernandez","""A person's income or job should not dictate whether they receive necessary care.""","Reproductive Health; Health Equity",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.4497,"Michelle Hinchey","""This will make New York one of the first states to require coverage for egg freezing.""","Reproductive Health",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.1438A,"Liz Krueger","""I'm proud the Senate Democratic Conference will move these critical bills to protect New Yorkers.""","Reproductive Health",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.8860,"Rachel May","""My bill prohibits considering reproductive health decisions as a cudgel in custody proceedings.""","Reproductive Health; Judiciary",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.8866,"Julia Salazar","""This will ensure all New Yorkers who wish to become parents through IVF will be able to do so.""","Reproductive Health; LGBTQ+ Rights",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.8257A,"Sam Sutton","""I'm proud to see the inclusion of my bill, S.8257A, in this package.""","Reproductive Health; Health Care",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.1703,"Lea Webb","""I am proud to sponsor two bills expanding access to contraceptives.""","Reproductive Health",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.2058,"Lea Webb","""I am proud to sponsor two bills expanding access to contraceptives.""","Reproductive Health",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-acts-protect-access-reproductive-healthcare-strengthen-privacy,"Reproductive Healthcare & IVF Package",2026-01-27
S.1085,"Andrea Stewart-Cousins","""Our democracy is strongest when every voter can participate freely, safely, and without interference.""","Elections; Voting Rights",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-reforms-protect-election-integrity-and-support,"Election Integrity & Democracy Day Package",2026-01-12
S.8646A,"Kristen Gonzalez","""Violence and intimidation have no place in our elections.""",Elections,false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-reforms-protect-election-integrity-and-support,"Election Integrity & Democracy Day Package",2026-01-12
S.1036,"Zellnor Myrie","""I'm grateful for colleagues helping keep New York on the path from worst to first.""","Voting Rights",false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-reforms-protect-election-integrity-and-support,"Election Integrity & Democracy Day Package",2026-01-12
S.1035,"Zellnor Myrie","""I'm grateful for colleagues helping keep New York on the path from worst to first.""",Elections,false,https://www.nysenate.gov/newsroom/press-releases/2026/senate-advances-reforms-protect-election-integrity-and-support,"Election Integrity & Democracy Day Package",2026-01-12
