Week,6.x-0.x,6.x-1.x,7.x-1.x,7.x-2.x,8.x-1.x,8.x-3.x,8.x-4.x,5.0.x,Total
11-Jul-20,0,93,15,14901,0,4594,20,0,19623
4-Jul-20,0,88,21,15080,0,4467,26,0,19682
27-Jun-20,0,93,19,15281,0,4679,26,0,20098
20-Jun-20,0,86,21,15642,0,4835,25,0,20609
13-Jun-20,0,91,25,15979,0,4613,23,0,20731
6-Jun-20,0,92,23,15597,0,4564,20,0,20296
30-May-20,0,86,25,15812,0,4433,17,0,20373
23-May-20,0,94,27,15830,0,4163,15,0,20129
16-May-20,0,98,29,15739,0,4169,14,0,20049
9-May-20,0,98,23,15300,0,4336,12,0,19769
2-May-20,0,94,27,15370,0,4261,12,0,19764
25-Apr-20,0,99,28,14711,0,4043,9,0,18890
18-Apr-20,0,102,25,14857,1,3970,4,0,18959
11-Apr-20,0,107,27,14884,0,3966,4,0,18988
4-Apr-20,0,104,25,14829,0,3928,3,0,18889
28-Mar-20,0,101,25,15302,0,3937,4,0,19369
21-Mar-20,0,103,27,15217,1,4067,3,0,19418
14-Mar-20,0,107,26,15136,0,3813,1,0,19083
7-Mar-20,0,106,26,15202,0,3797,0,0,19131
29-Feb-20,0,106,29,15269,1,3795,0,0,19200
22-Feb-20,0,106,30,15222,0,3726,0,0,19084
15-Feb-20,0,111,29,15289,0,3596,1,0,19026
8-Feb-20,0,108,28,15328,0,3667,0,0,19131
1-Feb-20,0,110,28,15523,1,3673,0,0,19335
25-Jan-20,0,114,25,15279,0,3523,0,0,18941
18-Jan-20,0,108,29,15289,0,3549,0,0,18975
11-Jan-20,0,115,29,15540,1,3561,0,0,19246
4-Jan-20,0,123,26,15612,0,3492,0,0,19253
28-Dec-19,0,117,30,15151,0,3065,0,0,18363
21-Dec-19,0,122,26,15067,0,3179,0,0,18394
14-Dec-19,0,125,27,16078,1,3614,0,0,19845
7-Dec-19,0,124,25,16029,0,3634,0,0,19812
30-Nov-19,0,127,30,15804,0,3591,1,0,19553
23-Nov-19,0,119,28,15640,0,3512,2,0,19301
16-Nov-19,0,119,31,15755,1,3659,1,0,19566
9-Nov-19,0,129,29,15583,0,3449,3,0,19193
2-Nov-19,0,124,32,15773,0,3488,3,0,19420
26-Oct-19,0,138,29,15742,0,3345,0,0,19254
19-Oct-19,0,129,27,15927,1,3347,0,0,19431
12-Oct-19,0,127,31,15761,0,3414,1,0,19334
5-Oct-19,0,143,38,15753,0,3405,1,0,19340
28-Sep-19,0,139,30,15852,1,3428,1,0,19451
21-Sep-19,0,129,29,15753,0,3194,0,0,19105
14-Sep-19,0,131,30,15994,0,3107,0,0,19262
7-Sep-19,0,134,30,15560,0,3222,0,0,18946
31-Aug-19,0,133,35,15642,1,3279,0,0,19090
24-Aug-19,0,131,33,15477,0,3163,0,0,18804
17-Aug-19,0,145,34,15513,0,3095,0,0,18787
10-Aug-19,0,144,29,15331,1,2854,0,0,18359
3-Aug-19,0,150,30,15495,0,2924,0,0,18599
27-Jul-19,0,135,32,15766,0,2942,0,0,18875
20-Jul-19,0,145,35,15715,1,2864,0,0,18760
13-Jul-19,0,141,29,15700,0,2975,0,0,18845
6-Jul-19,0,140,32,15572,0,3223,0,0,18967
29-Jun-19,0,153,32,15719,1,3087,0,0,18992
22-Jun-19,0,151,33,15604,1,3045,0,0,18834
15-Jun-19,0,147,35,15576,0,3226,0,0,18984
8-Jun-19,0,150,29,15515,0,2942,0,0,18636
1-Jun-19,0,140,37,15912,0,2724,0,0,18813
25-May-19,0,145,32,15847,1,2803,0,0,18828
18-May-19,0,142,31,15985,0,3094,0,0,19252
11-May-19,0,142,31,16276,2,3083,0,0,19534
4-May-19,0,131,30,16204,8,3001,0,0,19374
27-Apr-19,0,126,35,15858,7,2788,0,0,18814
20-Apr-19,0,134,30,15809,4,2635,0,0,18612
13-Apr-19,0,136,32,15934,8,2545,0,0,18655
6-Apr-19,0,136,36,15967,7,2652,0,0,18798
30-Mar-19,0,135,37,16346,6,2608,0,0,19132
23-Mar-19,0,135,32,16429,6,2537,0,0,19139
16-Mar-19,0,131,32,16638,4,2370,0,0,19175
9-Mar-19,0,138,32,16351,5,2300,0,0,18826
2-Mar-19,0,141,34,16383,6,2436,0,0,19000
23-Feb-19,0,145,31,16483,7,2458,0,0,19124
16-Feb-19,0,143,32,16565,6,2689,0,0,19435
9-Feb-19,0,143,37,16169,5,2551,0,0,18905
2-Feb-19,0,142,32,16180,4,2437,0,0,18795
26-Jan-19,0,136,34,16314,5,2474,0,0,18963
19-Jan-19,0,138,30,16504,6,2276,0,0,18954
12-Jan-19,0,140,28,16585,7,2294,0,0,19054
5-Jan-19,0,140,28,16175,7,2122,0,0,18472
29-Dec-18,0,145,31,15571,7,1974,0,0,17728
22-Dec-18,0,144,30,15031,4,2009,0,0,17218
15-Dec-18,0,145,30,15884,5,2077,0,0,18141
8-Dec-18,0,140,35,16095,5,2193,0,0,18468
1-Dec-18,0,148,31,16110,3,2268,0,0,18560
24-Nov-18,0,145,27,15817,3,2096,0,0,18088
17-Nov-18,0,153,25,15964,6,2104,0,0,18252
10-Nov-18,0,153,33,15995,7,2074,0,0,18262
3-Nov-18,0,158,34,15944,5,2319,0,0,18460
27-Oct-18,0,153,34,15920,4,2400,0,0,18511
20-Oct-18,0,150,31,16208,5,2237,0,0,18631
13-Oct-18,0,153,30,16470,4,2200,0,0,18857
6-Oct-18,0,153,32,15848,4,1926,0,0,17963
29-Sep-18,0,155,36,15769,5,1929,0,0,17894
22-Sep-18,0,157,29,15572,4,1852,0,0,17614
15-Sep-18,0,158,29,15334,5,1998,0,0,17524
8-Sep-18,0,161,28,15815,4,1974,0,0,17982
1-Sep-18,0,162,30,15825,4,2001,0,0,18022
25-Aug-18,0,156,29,15769,4,1929,0,0,17887
18-Aug-18,0,152,29,15565,4,1775,0,0,17525
11-Aug-18,0,150,30,15460,4,1860,0,0,17504
4-Aug-18,0,157,36,15504,5,1979,0,0,17681
28-Jul-18,0,157,32,15243,2,1898,0,0,17332
21-Jul-18,0,161,31,15322,0,1850,0,0,17364
14-Jul-18,0,138,34,14741,0,1725,0,0,16638
7-Jul-18,0,158,35,15621,0,1700,0,0,17514
30-Jun-18,0,145,31,13791,0,1442,0,0,15409
23-Jun-18,0,165,36,15441,0,1594,0,0,17236
16-Jun-18,0,162,35,15550,0,1633,0,0,17380
9-Jun-18,0,157,39,15502,0,1650,0,0,17348
2-Jun-18,0,167,34,15757,3,1795,0,0,17756
26-May-18,0,176,33,15551,0,1487,0,0,17247
19-May-18,0,173,37,15841,0,1554,0,0,17605
12-May-18,0,168,30,16140,0,1400,0,0,17738
5-May-18,0,174,34,16049,0,1460,0,0,17717
28-Apr-18,0,216,35,16600,0,1485,0,0,18336
21-Apr-18,0,181,33,18067,0,1517,0,0,19798
14-Apr-18,0,181,32,16873,2,1712,0,0,18800
7-Apr-18,0,177,38,16800,4,1558,0,0,18577
31-Mar-18,0,184,32,16736,2,1457,0,0,18411
24-Mar-18,0,195,31,17965,3,1458,0,0,19652
17-Mar-18,0,184,35,16418,2,1380,0,0,18019
10-Mar-18,0,184,32,16795,2,1419,0,0,18432
3-Mar-18,0,193,35,16780,2,1520,0,0,18530
24-Feb-18,0,190,31,16427,2,1338,0,0,17988
17-Feb-18,0,204,34,16367,2,1274,0,0,17881
10-Feb-18,0,196,36,16275,1,1292,0,0,17800
3-Feb-18,0,206,34,16345,3,1527,0,0,18115
27-Jan-18,0,196,33,16268,5,1385,0,0,17887
20-Jan-18,0,202,36,15935,2,1450,0,0,17625
13-Jan-18,0,200,33,15856,7,1320,0,0,17416
6-Jan-18,0,209,38,16034,3,1285,0,0,17569
30-Dec-17,0,204,39,15544,2,1056,0,0,16845
23-Dec-17,0,206,35,15002,2,1039,0,0,16284
16-Dec-17,0,203,35,15809,3,1123,0,0,17173
9-Dec-17,0,206,32,15921,2,1477,0,0,17638
2-Dec-17,0,204,38,16419,2,1339,0,0,18002
25-Nov-17,0,210,33,16087,2,1193,0,0,17525
18-Nov-17,0,205,39,16106,3,1096,0,0,17449
11-Nov-17,0,210,39,16304,2,1081,0,0,17636
4-Nov-17,0,227,40,16241,3,1163,0,0,17674
28-Oct-17,0,217,39,15860,4,909,0,0,17029
21-Oct-17,0,226,39,15948,4,863,0,0,17080
14-Oct-17,0,227,43,16086,3,922,0,0,17281
7-Oct-17,0,235,45,16215,2,932,0,0,17429
30-Sep-17,0,237,38,16037,2,800,0,0,17114
23-Sep-17,0,243,42,15838,4,715,0,0,16842
16-Sep-17,0,239,39,15716,4,962,0,0,16960
9-Sep-17,0,242,44,15784,2,659,0,0,16731
2-Sep-17,0,254,46,15812,2,760,0,0,16874
26-Aug-17,0,254,43,15805,2,681,0,0,16785
19-Aug-17,0,265,45,15748,3,533,0,0,16594
12-Aug-17,0,242,38,14836,2,474,0,0,15592
5-Aug-17,0,264,39,15242,3,572,0,0,16120
29-Jul-17,0,263,41,15266,1,288,0,0,15859
22-Jul-17,0,259,44,15357,2,134,0,0,15796
15-Jul-17,0,269,38,15512,2,132,0,0,15953
8-Jul-17,0,261,47,15717,3,124,0,0,16152
1-Jul-17,0,262,43,15617,3,114,0,0,16039
24-Jun-17,0,261,44,15799,3,113,0,0,16220
17-Jun-17,0,270,42,15745,3,107,0,0,16167
10-Jun-17,0,279,42,15587,4,112,0,0,16024
3-Jun-17,0,278,49,15721,4,105,0,0,16157
27-May-17,0,289,50,15553,4,100,0,0,15996
20-May-17,0,286,45,15504,2,92,0,0,15929
13-May-17,0,290,46,16796,2,93,0,0,17227
6-May-17,0,286,45,17445,4,74,0,0,17854
29-Apr-17,0,297,46,17294,3,62,0,0,17702
22-Apr-17,0,296,46,17500,3,63,0,0,17908
15-Apr-17,0,290,48,17485,3,47,0,0,17873
8-Apr-17,0,293,46,17367,3,36,0,0,17745
1-Apr-17,0,298,43,17508,7,31,0,0,17887
25-Mar-17,0,300,47,17271,10,27,0,0,17655
18-Mar-17,0,304,47,17267,14,10,0,0,17642
11-Mar-17,0,296,43,16712,19,0,0,0,17070
4-Mar-17,0,303,46,16999,3,0,0,0,17351
25-Feb-17,0,307,48,16959,0,0,0,0,17314
18-Feb-17,0,320,45,16806,0,0,0,0,17171
11-Feb-17,0,305,40,16866,0,0,0,0,17211
4-Feb-17,0,294,42,16988,0,0,0,0,17324
28-Jan-17,0,312,43,16604,0,0,0,0,16959
21-Jan-17,0,291,48,16706,0,0,0,0,17045
14-Jan-17,0,310,46,16459,0,0,0,0,16815
7-Jan-17,0,318,51,16878,0,0,0,0,17247
31-Dec-16,0,318,45,15947,0,0,0,0,16310
24-Dec-16,0,311,45,15031,0,0,0,0,15387
17-Dec-16,0,319,46,16005,0,0,0,0,16370
10-Dec-16,0,318,42,16210,0,0,0,0,16570
3-Dec-16,0,332,52,16549,0,0,0,0,16933
26-Nov-16,0,334,46,16549,0,0,0,0,16929
19-Nov-16,0,332,51,15957,0,0,0,0,16340
12-Nov-16,0,342,49,16191,0,0,0,0,16582
5-Nov-16,0,345,56,15339,0,0,0,0,15740
29-Oct-16,0,349,49,14911,0,0,0,0,15309
22-Oct-16,0,350,53,15040,0,0,0,0,15443
15-Oct-16,0,348,53,15238,0,0,0,0,15639
8-Oct-16,0,350,52,14567,0,0,0,0,14969
1-Oct-16,0,352,63,15041,0,0,0,0,15456
24-Sep-16,0,351,60,14551,0,0,0,0,14962
17-Sep-16,0,347,58,14655,0,0,0,0,15060
10-Sep-16,0,338,62,14584,0,0,0,0,14984
3-Sep-16,0,355,62,14582,0,0,0,0,14999
27-Aug-16,0,352,67,14673,0,0,0,0,15092
20-Aug-16,0,359,63,14400,0,0,0,0,14822
13-Aug-16,0,392,61,14415,0,0,0,0,14868
6-Aug-16,0,373,62,14653,0,0,0,0,15088
30-Jul-16,0,367,60,14607,0,0,0,0,15034
23-Jul-16,0,374,58,14741,0,0,0,0,15173
16-Jul-16,0,415,57,14959,0,0,0,0,15431
9-Jul-16,0,439,58,13846,0,0,0,0,14343
2-Jul-16,0,378,59,14610,0,0,0,0,15047
25-Jun-16,0,392,62,14607,0,0,0,0,15061
18-Jun-16,0,380,65,14953,0,0,0,0,15398
11-Jun-16,0,398,58,14869,0,0,0,0,15325
4-Jun-16,0,379,63,14444,0,0,0,0,14886
28-May-16,0,406,68,14443,0,0,0,0,14917
21-May-16,0,396,68,14739,0,0,0,0,15203
14-May-16,0,391,58,14553,0,0,0,0,15002
7-May-16,0,393,72,14577,0,0,0,0,15042
30-Apr-16,0,391,67,14347,0,0,0,0,14805
23-Apr-16,0,412,65,14447,0,0,0,0,14924
16-Apr-16,0,392,65,14611,0,0,0,0,15068
9-Apr-16,0,414,68,14426,0,0,0,0,14908
2-Apr-16,0,410,67,14537,0,0,0,0,15014
26-Mar-16,0,407,74,14040,0,0,0,0,14521
19-Mar-16,0,418,73,13893,0,0,0,0,14384
12-Mar-16,0,419,76,14256,0,0,0,0,14751
5-Mar-16,0,440,73,14272,0,0,0,0,14785
27-Feb-16,0,437,78,14293,0,0,0,0,14808
20-Feb-16,0,448,78,14500,0,0,0,0,15026
13-Feb-16,0,458,74,13949,0,0,0,0,14481
6-Feb-16,0,437,76,13681,0,0,0,0,14194
30-Jan-16,0,428,76,13729,0,0,0,0,14233
23-Jan-16,0,435,80,13393,0,0,0,0,13908
16-Jan-16,0,441,79,13369,0,0,0,0,13889
9-Jan-16,0,443,77,13298,0,0,0,0,13818
2-Jan-16,0,450,77,12385,0,0,0,0,12912
26-Dec-15,0,446,84,11190,0,0,0,0,11720
19-Dec-15,0,452,92,11888,0,0,0,0,12432
12-Dec-15,0,468,84,12623,0,0,0,0,13175
5-Dec-15,0,465,87,12736,0,0,0,0,13288
28-Nov-15,0,460,86,12721,0,0,0,0,13267
21-Nov-15,0,465,88,12423,0,0,0,0,12976
14-Nov-15,0,494,90,12483,0,0,0,0,13067
7-Nov-15,0,489,89,12383,0,0,0,0,12961
31-Oct-15,0,509,87,12512,0,0,0,0,13108
24-Oct-15,0,495,88,12346,0,0,0,0,12929
17-Oct-15,0,505,90,12338,0,0,0,0,12933
10-Oct-15,0,487,96,11995,0,0,0,0,12578
3-Oct-15,0,489,87,11676,0,0,0,0,12252
26-Sep-15,0,480,93,11015,0,0,0,0,11588
19-Sep-15,0,474,85,10385,0,0,0,0,10944
12-Sep-15,0,506,94,11041,0,0,0,0,11641
5-Sep-15,0,519,101,11402,0,0,0,0,12022
29-Aug-15,0,528,106,11556,0,0,0,0,12190
22-Aug-15,0,596,106,11672,0,0,0,0,12374
15-Aug-15,0,530,105,11574,0,0,0,0,12209
8-Aug-15,1,520,103,11089,0,0,0,0,11713
1-Aug-15,1,507,106,10947,0,0,0,0,11561
25-Jul-15,1,593,107,10712,0,0,0,0,11413
18-Jul-15,1,520,104,10533,0,0,0,0,11158
11-Jul-15,1,538,110,10764,0,0,0,0,11413
4-Jul-15,1,550,108,10918,0,0,0,0,11577
27-Jun-15,1,537,114,10783,0,0,0,0,11435
20-Jun-15,1,564,109,10961,0,0,0,0,11635
13-Jun-15,1,550,114,10845,0,0,0,0,11510
6-Jun-15,1,540,112,10369,0,0,0,0,11022
30-May-15,1,537,115,10137,0,0,0,0,10790
23-May-15,1,532,116,10024,0,0,0,0,10673
16-May-15,1,556,115,10051,0,0,0,0,10723
9-May-15,1,549,112,9923,0,0,0,0,10585
2-May-15,1,549,115,9700,0,0,0,0,10365
25-Apr-15,1,555,118,9462,0,0,0,0,10136
18-Apr-15,1,552,121,9363,0,0,0,0,10037
11-Apr-15,1,549,122,9046,0,0,0,0,9718
4-Apr-15,1,561,130,8955,0,0,0,0,9647
28-Mar-15,1,570,125,9064,0,0,0,0,9760
21-Mar-15,1,568,134,9194,0,0,0,0,9897
14-Mar-15,1,561,137,9163,0,0,0,0,9862
7-Mar-15,1,553,127,8826,0,0,0,0,9507
28-Feb-15,1,587,130,8638,0,0,0,0,9356
21-Feb-15,1,584,124,8459,0,0,0,0,9168
14-Feb-15,1,588,136,8314,0,0,0,0,9039
7-Feb-15,1,577,142,8240,0,0,0,0,8960
31-Jan-15,1,583,133,8003,0,0,0,0,8720
24-Jan-15,1,598,130,7738,0,0,0,0,8467
17-Jan-15,1,593,138,7779,0,0,0,0,8511
10-Jan-15,1,579,137,7654,0,0,0,0,8371
3-Jan-15,1,581,127,7500,0,0,0,0,8209
27-Dec-14,1,562,131,6455,0,0,0,0,7149
20-Dec-14,1,582,129,6575,0,0,0,0,7287
13-Dec-14,1,602,134,7342,0,0,0,0,8079
6-Dec-14,1,602,139,7319,0,0,0,0,8061
29-Nov-14,1,609,134,7171,0,0,0,0,7915
22-Nov-14,1,630,144,7088,0,0,0,0,7863
15-Nov-14,1,625,160,7301,0,0,0,0,8087
8-Nov-14,1,617,151,7029,0,0,0,0,7798
1-Nov-14,2,635,166,6769,0,0,0,0,7572
25-Oct-14,1,614,160,6508,0,0,0,0,7283
18-Oct-14,1,609,159,6348,0,0,0,0,7117
11-Oct-14,1,627,155,6349,0,0,0,0,7132
4-Oct-14,1,621,165,5897,0,0,0,0,6684
27-Sep-14,1,622,158,5854,0,0,0,0,6635
20-Sep-14,1,633,164,5881,0,0,0,0,6679
13-Sep-14,1,654,161,5789,0,0,0,0,6605
6-Sep-14,1,652,166,5700,0,0,0,0,6519
30-Aug-14,2,643,171,5580,0,0,0,0,6396
23-Aug-14,2,643,171,5466,0,0,0,0,6282
16-Aug-14,2,633,184,5304,0,0,0,0,6123
9-Aug-14,2,648,185,5183,0,0,0,0,6018
2-Aug-14,2,641,183,5247,0,0,0,0,6073
26-Jul-14,2,643,185,4938,0,0,0,0,5768
19-Jul-14,2,640,183,4814,0,0,0,0,5639
12-Jul-14,2,719,175,4713,0,0,0,0,5609
5-Jul-14,2,652,177,4543,0,0,0,0,5374
28-Jun-14,2,653,182,4526,0,0,0,0,5363
21-Jun-14,2,655,181,4490,0,0,0,0,5328
14-Jun-14,2,651,166,3895,0,0,0,0,4714
7-Jun-14,2,674,187,3866,0,0,0,0,4729
31-May-14,2,665,183,3623,0,0,0,0,4473
24-May-14,2,669,194,3581,0,0,0,0,4446
17-May-14,2,669,191,3346,0,0,0,0,4208
10-May-14,2,671,196,3221,0,0,0,0,4090
3-May-14,2,661,192,3223,0,0,0,0,4078
26-Apr-14,2,681,194,3095,0,0,0,0,3972
19-Apr-14,2,687,201,2981,0,0,0,0,3871
12-Apr-14,2,695,203,2910,0,0,0,0,3810
5-Apr-14,2,694,218,2807,0,0,0,0,3721
29-Mar-14,2,725,222,2807,0,0,0,0,3756
22-Mar-14,2,709,226,2661,0,0,0,0,3598
15-Mar-14,2,712,235,2544,0,0,0,0,3493
8-Mar-14,2,747,241,2405,0,0,0,0,3395
1-Mar-14,2,715,255,2368,0,0,0,0,3340
22-Feb-14,2,748,244,2245,0,0,0,0,3239
15-Feb-14,2,707,248,2107,0,0,0,0,3064
8-Feb-14,2,759,256,2044,0,0,0,0,3061
1-Feb-14,2,734,258,1928,0,0,0,0,2922
25-Jan-14,2,753,263,1781,0,0,0,0,2799
18-Jan-14,2,749,260,1722,0,0,0,0,2733
11-Jan-14,2,728,288,1612,0,0,0,0,2630
4-Jan-14,2,755,276,1343,0,0,0,0,2376
28-Dec-13,2,736,285,1082,0,0,0,0,2105
21-Dec-13,2,711,276,1005,0,0,0,0,1994
14-Dec-13,2,769,285,1118,0,0,0,0,2174
7-Dec-13,2,756,281,1008,0,0,0,0,2047
30-Nov-13,2,799,286,920,0,0,0,0,2007
23-Nov-13,2,898,290,849,0,0,0,0,2039
16-Nov-13,2,956,313,790,0,0,0,0,2061
9-Nov-13,2,939,313,746,0,0,0,0,2000
2-Nov-13,2,963,327,662,0,0,0,0,1954
26-Oct-13,2,992,322,636,0,0,0,0,1952
19-Oct-13,2,977,309,651,0,0,0,0,1939
12-Oct-13,2,990,328,576,0,0,0,0,1896
5-Oct-13,2,887,328,560,0,0,0,0,1777
28-Sep-13,2,1450,331,516,0,0,0,0,2299
21-Sep-13,2,1510,336,449,0,0,0,0,2297
14-Sep-13,2,1530,335,423,0,0,0,0,2290
7-Sep-13,2,874,340,363,0,0,0,0,1579
31-Aug-13,2,887,353,317,0,0,0,0,1559
24-Aug-13,2,870,349,269,0,0,0,0,1490
17-Aug-13,2,877,352,235,0,0,0,0,1466
10-Aug-13,2,862,367,190,0,0,0,0,1421
3-Aug-13,2,841,399,149,0,0,0,0,1391
27-Jul-13,2,876,416,104,0,0,0,0,1398
20-Jul-13,2,887,457,15,0,0,0,0,1361
13-Jul-13,2,879,445,0,0,0,0,0,1326
6-Jul-13,2,876,462,0,0,0,0,0,1340
29-Jun-13,2,884,464,0,0,0,0,0,1350
22-Jun-13,2,901,452,0,0,0,0,0,1355
15-Jun-13,2,893,460,0,0,0,0,0,1355
8-Jun-13,2,956,474,0,0,0,0,0,1432
1-Jun-13,2,1117,473,0,0,0,0,0,1592
25-May-13,2,1063,441,0,0,0,0,0,1506
18-May-13,2,944,383,0,0,0,0,0,1329
11-May-13,2,1109,450,0,0,0,0,0,1561
4-May-13,2,1020,451,0,0,0,0,0,1473
27-Apr-13,2,1003,450,0,0,0,0,0,1455
20-Apr-13,2,967,448,0,0,0,0,0,1417
13-Apr-13,2,1061,469,0,0,0,0,0,1532
6-Apr-13,2,1022,478,0,0,0,0,0,1502
30-Mar-13,2,1030,440,0,0,0,0,0,1472
23-Mar-13,2,1101,464,0,0,0,0,0,1567
16-Mar-13,2,1047,451,0,0,0,0,0,1500
9-Mar-13,2,1046,476,0,0,0,0,0,1524
2-Mar-13,3,1044,469,0,0,0,0,0,1516
23-Feb-13,3,1077,479,0,0,0,0,0,1559
16-Feb-13,3,1094,458,0,0,0,0,0,1555
9-Feb-13,3,1091,468,0,0,0,0,0,1562
2-Feb-13,3,1099,447,0,0,0,0,0,1549
26-Jan-13,3,1132,452,0,0,0,0,0,1587
19-Jan-13,3,1124,455,0,0,0,0,0,1582
12-Jan-13,4,1164,446,0,0,0,0,0,1614
5-Jan-13,3,1167,443,0,0,0,0,0,1613
29-Dec-12,3,1085,411,0,0,0,0,0,1499
22-Dec-12,3,1076,407,0,0,0,0,0,1486
15-Dec-12,4,1173,437,0,0,0,0,0,1614
8-Dec-12,4,1208,441,0,0,0,0,0,1653
1-Dec-12,3,1171,476,0,0,0,0,0,1650
24-Nov-12,3,1185,474,0,0,0,0,0,1662
17-Nov-12,3,1163,460,0,0,0,0,0,1626
10-Nov-12,3,1200,451,0,0,0,0,0,1654
3-Nov-12,3,1247,476,0,0,0,0,0,1726
27-Oct-12,3,1219,456,0,0,0,0,0,1678
20-Oct-12,3,1276,443,0,0,0,0,0,1722
