fid,uuid,langcode,uid,filename,uri,filemime,filesize,status,created,changed,origname
1091511,295a471a-f8f6-4f70-98a5-8c032af54087,en,145811,"Flyer Biblioteca de Corona 2011.pdf","public://Flyer Biblioteca de Corona 2011.pdf",application/pdf,4904156,1,1650436191,1650436191,"Flyer Biblioteca de Corona 2011.pdf"
1091576,a0e66880-0cf8-4d2c-806c-e0f24c2f8fdc,en,145956,"2011 Community Convention Flyer FINAL.pdf","public://2011 Community Convention Flyer FINAL.pdf",application/pdf,690528,1,1650436191,1650436191,"2011 Community Convention Flyer FINAL.pdf"
1091641,6fc0c80a-f1ec-4069-8028-e5f3239483ac,en,145811,TaxPrep_0.pdf,public://TaxPrep_0.pdf,application/pdf,926490,1,1650436191,1650436191,TaxPrep_0.pdf
1091671,54ab2346-b341-4594-86b3-7459d212f988,en,145061,"2011 Historic WOD Book.pdf","public://2011 Historic WOD Book.pdf",application/pdf,9861345,1,1650436191,1650436191,"2011 Historic WOD Book.pdf"
1091691,57c990d5-ee40-4ea5-b42b-c3f951ed0c3c,en,145091,"Ruby Nottage Invite.pdf","public://Ruby Nottage Invite.pdf",application/pdf,569307,1,1650436191,1650436191,"Ruby Nottage Invite.pdf"
1091716,937ec7e5-ab95-4471-a511-4d2f3d7bb06a,en,145811,SeniorCenterRally.pdf,public://SeniorCenterRally.pdf,application/pdf,34041,1,1650436191,1650436191,SeniorCenterRally.pdf
1091831,0bb663e1-2b68-41ef-a740-1be5afbf5316,en,145811,KnowYourRightsLefrak_0.pdf,public://KnowYourRightsLefrak_0.pdf,application/pdf,224429,1,1650436191,1650436191,KnowYourRightsLefrak_0.pdf
1091856,3ca951e5-9def-4ea1-91ef-8ed72c1dbf3c,en,145251,"3-22-11 April 23rd Legislative Clergy Breakfast (final)_0.jpg","public://3-22-11 April 23rd Legislative Clergy Breakfast (final)_0.jpg",image/jpeg,399196,1,1650436191,1650436191,"3-22-11 April 23rd Legislative Clergy Breakfast (final)_0.jpg"
1091881,1cc88da1-3eef-47e9-bbad-177b0f12a434,en,145811,FinancialLiteracySeries.pdf,public://FinancialLiteracySeries.pdf,application/pdf,321531,1,1650436191,1650436191,FinancialLiteracySeries.pdf
1091961,005c9517-6a20-4a38-b237-e68f99cec8e3,en,145341,"Memorial Sloan-Kettering Cancer Center Flyer.pdf","public://Memorial Sloan-Kettering Cancer Center Flyer.pdf",application/pdf,534564,1,1650436191,1650436191,"Memorial Sloan-Kettering Cancer Center Flyer.pdf"
1092061,79f21327-5d92-442a-9662-6af985ee3ad7,en,145811,EnglishAutism.pdf,public://EnglishAutism.pdf,application/pdf,290617,1,1650436191,1650436191,EnglishAutism.pdf
1092066,a05878d4-9628-496e-ad3c-8880959abdd9,en,145811,SpanishAutism.pdf,public://SpanishAutism.pdf,application/pdf,295495,1,1650436191,1650436191,SpanishAutism.pdf
1092071,e550f43f-da66-4539-bfbb-05e86499055d,en,145781,"MammogramFLYER - Senator Serrano_manhattan.pdf","public://MammogramFLYER - Senator Serrano_manhattan.pdf",application/pdf,175103,1,1650436191,1650436191,"MammogramFLYER - Senator Serrano_manhattan.pdf"
1092126,69f64797-25f7-4833-aaf1-7c9fc1404f78,en,145811,FamilyDay.pdf,public://FamilyDay.pdf,application/pdf,3365724,1,1650436191,1650436191,FamilyDay.pdf
1092156,e6b61927-9c64-4a27-a51c-2fabfbe8e9e5,en,145811,CardiovascularScreening_0.pdf,public://CardiovascularScreening_0.pdf,application/pdf,368281,1,1650436191,1650436191,CardiovascularScreening_0.pdf
1092886,9aaecb63-4ae2-44e5-83c5-5bd3857385ac,en,145351,"Golden Gathering Tickets & Transportation Info.pdf","public://Golden Gathering Tickets & Transportation Info.pdf",application/pdf,1719459,1,1650436191,1650436191,"Golden Gathering Tickets & Transportation Info.pdf"
1092891,44b2eabc-fbb8-41de-a532-209cdeb2ffb6,en,145351,"LIST OF EXHIBITORS.pdf","public://LIST OF EXHIBITORS.pdf",application/pdf,86114,1,1650436191,1650436191,"LIST OF EXHIBITORS.pdf"
1093776,0bc2b9d5-7730-475d-873c-c9ef5d438b21,en,145251,"4-14-12 5th Annual Girls Empowerment Conference flyer (final).jpg","public://4-14-12 5th Annual Girls Empowerment Conference flyer (final).jpg",image/jpeg,998047,1,1650436191,1650436191,"4-14-12 5th Annual Girls Empowerment Conference flyer (final).jpg"
1098886,934ae329-af81-41a4-b1c7-9a4280350bdd,en,146501,"Klein Court Watchers Program.jpg","public://Klein Court Watchers Program.jpg",image/jpeg,232570,1,1650436191,1650436191,"Klein Court Watchers Program.jpg"
1182436,6cf8ae50-b5da-47ee-9529-eeebe4b10f66,en,145271,"$40M One Time Severe Winter CHIPS Funding.pdf","public://$40M One Time Severe Winter CHIPS Funding.pdf",application/pdf,702568,1,1650436191,1650436191,"$40M One Time Severe Winter CHIPS Funding.pdf"
1184081,46e1e173-50b7-4b89-abff-23ac8c2bad3c,en,145521,Joint_Senate_Heroin_Addiction_Task_Force_Final_Report_5-27-14.pdf,public://Joint_Senate_Heroin_Addiction_Task_Force_Final_Report_5-27-14.pdf,application/pdf,2276395,1,1650436191,1650436191,Joint_Senate_Heroin_Addiction_Task_Force_Final_Report_5-27-14.pdf
1290956,21411054-aeb6-4f50-9d8a-b9e318f3aa68,en,145126,screen2.png,public://screen2.png,image/png,125354,1,1650436191,1650436191,screen2.png
1352711,9e78e143-30fe-43d4-9afe-deebc05b8a81,en,146291,25_1.jpg,public://25_1.jpg,image/jpeg,89000,1,1650436191,1650436191,25_1.jpg
1589556,4d8daa2a-4b7c-44d1-9a99-b52a889da607,en,20,BAKER_SEAL_0.JPG,public://articles/promo/BAKER_SEAL_0.JPG,image/jpeg,10906,1,1650436191,1650436191,BAKER_SEAL_0.JPG
1589561,7a2ed1e1-6a61-40cb-bcb4-6a09c532082c,en,20,BAXTER_SEAL.JPG,public://articles/promo/BAXTER_SEAL.JPG,image/jpeg,10360,1,1650436191,1650436191,BAXTER_SEAL.JPG
1589566,38ca4f26-07b2-4243-872a-5d3ceea98eba,en,20,BEIKIRCH_SEAL.JPG,public://articles/promo/BEIKIRCH_SEAL.JPG,image/jpeg,11137,1,1650436191,1650436191,BEIKIRCH_SEAL.JPG
1589571,887fef53-5195-4e2b-ae5f-95a5d7fdb46f,en,20,BELLAVIA_SEAL.JPG,public://articles/promo/BELLAVIA_SEAL.JPG,image/jpeg,11327,1,1650436191,1650436191,BELLAVIA_SEAL.JPG
1589576,bb03a3e5-b1ee-4c24-abc4-992d508e0fb8,en,20,BRANDI_SEAL.JPG,public://articles/promo/BRANDI_SEAL.JPG,image/jpeg,12990,1,1650436191,1650436191,BRANDI_SEAL.JPG
1589581,83b1f9fd-4765-4190-93aa-62342ce38d07,en,20,BRUSTMAN_SEAL.JPG,public://articles/promo/BRUSTMAN_SEAL.JPG,image/jpeg,9050,1,1650436191,1650436191,BRUSTMAN_SEAL.JPG
1589586,313f4a0f-8b53-4e84-85e2-39798086a16a,en,20,BURKE_SEAL.JPG,public://articles/promo/BURKE_SEAL.JPG,image/jpeg,12842,1,1650436191,1650436191,BURKE_SEAL.JPG
1589591,bd7951da-4054-42cb-88f7-cbd832ec311d,en,20,BUSH_SEAL.JPG,public://articles/promo/BUSH_SEAL.JPG,image/jpeg,10825,1,1650436191,1650436191,BUSH_SEAL.JPG
1589596,77a5e0fc-c12f-4338-a770-4ded220bd277,en,20,CASAMENTO_SEAL.JPG,public://articles/promo/CASAMENTO_SEAL.JPG,image/jpeg,11389,1,1650436191,1650436191,CASAMENTO_SEAL.JPG
1589601,c41e89e0-2acf-4fca-baad-5a60d76fd734,en,20,CHINELLY_SEAL.JPG,public://articles/promo/CHINELLY_SEAL.JPG,image/jpeg,10602,1,1650436191,1650436191,CHINELLY_SEAL.JPG
1589606,0d40ff5b-c4a7-4b06-814f-79dbecb5634f,en,20,COGNITORE_SEAL.JPG,public://articles/promo/COGNITORE_SEAL.JPG,image/jpeg,11733,1,1650436191,1650436191,COGNITORE_SEAL.JPG
1589611,1b3ca354-0450-44cb-8b80-2a7c950e5593,en,20,COLLINS_SEAL.JPG,public://articles/promo/COLLINS_SEAL.JPG,image/jpeg,9892,1,1650436191,1650436191,COLLINS_SEAL.JPG
1589616,ab8eeee5-1b59-4965-899c-96f21bd84c8a,en,20,CONACE_SEAL.JPG,public://articles/promo/CONACE_SEAL.JPG,image/jpeg,11033,1,1650436191,1650436191,CONACE_SEAL.JPG
1589621,d6915ccc-bb45-4c8f-beb6-8637cf4f8e71,en,20,CROMARTY_SEAL.JPG,public://articles/promo/CROMARTY_SEAL.JPG,image/jpeg,10974,1,1650436191,1650436191,CROMARTY_SEAL.JPG
1589626,891ae564-9dbf-42e0-a5d7-01f87a60f2cf,en,20,CURREY_SEAL.JPG,public://articles/promo/CURREY_SEAL.JPG,image/jpeg,10915,1,1650436191,1650436191,CURREY_SEAL.JPG
1589631,2f89bcab-960f-4760-8e43-6e293a2eff3f,en,20,DANIAL_SEAL.JPG,public://articles/promo/DANIAL_SEAL.JPG,image/jpeg,13198,1,1650436191,1650436191,DANIAL_SEAL.JPG
1589636,0b440da9-91a7-4b9f-bb4c-9cdcc98dccb6,en,20,DILL_SEAL.JPG,public://articles/promo/DILL_SEAL.JPG,image/jpeg,11838,1,1650436191,1650436191,DILL_SEAL.JPG
1589641,d9928527-f5e3-4dc9-be68-94fd82f4782f,en,20,DONALDSON_SEAL.JPG,public://articles/promo/DONALDSON_SEAL.JPG,image/jpeg,10139,1,1650436191,1650436191,DONALDSON_SEAL.JPG
1589646,653d1d13-fa6e-4c98-bed7-608180541d43,en,20,DONNELLAN_SEAL.JPG,public://articles/promo/DONNELLAN_SEAL.JPG,image/jpeg,9907,1,1650436191,1650436191,DONNELLAN_SEAL.JPG
1589651,770492f1-9f06-4377-8e6c-79afe098d9f2,en,20,ERICKSON_SEAL.JPG,public://articles/promo/ERICKSON_SEAL.JPG,image/jpeg,15220,1,1650436191,1650436191,ERICKSON_SEAL.JPG
1589656,edf07607-11b5-4e04-a257-ed75da24ae7a,en,20,ETKIN_SEAL.JPG,public://articles/promo/ETKIN_SEAL.JPG,image/jpeg,9802,1,1650436191,1650436191,ETKIN_SEAL.JPG
1589661,064eb7fa-5db6-4547-866d-7430f2ab6f9d,en,20,FISHER_SEAL.JPG,public://articles/promo/FISHER_SEAL.JPG,image/jpeg,13017,1,1650436191,1650436191,FISHER_SEAL.JPG
1589666,f7e66552-45ee-4ea3-9177-d642d3a05f8b,en,20,GLYNN_SEAL.JPG,public://articles/promo/GLYNN_SEAL.JPG,image/jpeg,10392,1,1650436191,1650436191,GLYNN_SEAL.JPG
1589671,5ebcb99c-bfd3-4ef8-8398-d065dfc2298a,en,20,HOLOWECKI_SEAL.JPG,public://articles/promo/HOLOWECKI_SEAL.JPG,image/jpeg,11622,1,1650436191,1650436191,HOLOWECKI_SEAL.JPG
1589676,8f95a047-bb10-4c6c-a43c-afb5c9e9935d,en,20,INGINO_SEAL.JPG,public://articles/promo/INGINO_SEAL.JPG,image/jpeg,12804,1,1650436191,1650436191,INGINO_SEAL.JPG
1589681,19dfa566-ce99-46d7-bfa7-32d1f70eb731,en,20,JONES_SEAL.JPG,public://articles/promo/JONES_SEAL.JPG,image/jpeg,10030,1,1650436191,1650436191,JONES_SEAL.JPG
1589686,6203d6f0-6ffe-45fb-a45c-680374369832,en,20,KASTNER_SEAL.JPG,public://articles/promo/KASTNER_SEAL.JPG,image/jpeg,9295,1,1650436191,1650436191,KASTNER_SEAL.JPG
1589691,ad7b41d9-2d6f-4f4e-a387-da25c341707d,en,20,LAROCCO_SEAL.JPG,public://articles/promo/LAROCCO_SEAL.JPG,image/jpeg,10102,1,1650436191,1650436191,LAROCCO_SEAL.JPG
1589696,14b197e5-5d23-4878-ad0e-b59ce6ea5de8,en,20,LASKARIS_SEAL.JPG,public://articles/promo/LASKARIS_SEAL.JPG,image/jpeg,10422,1,1650436191,1650436191,LASKARIS_SEAL.JPG
1589701,f52f0a0b-1861-44da-92a7-c3fa8d0c427b,en,20,MAHAR_SEAL.JPG,public://articles/promo/MAHAR_SEAL.JPG,image/jpeg,10514,1,1650436191,1650436191,MAHAR_SEAL.JPG
1589706,cbeb2d65-d0c8-4f0e-bc2a-494984477488,en,20,MAHONEY_SEAL.JPG,public://articles/promo/MAHONEY_SEAL.JPG,image/jpeg,11380,1,1650436191,1650436191,MAHONEY_SEAL.JPG
1589711,8a8068bf-54fc-46c3-a6f2-61721bab203d,en,20,MASSEY_SEAL.JPG,public://articles/promo/MASSEY_SEAL.JPG,image/jpeg,12481,1,1650436191,1650436191,MASSEY_SEAL.JPG
1589716,42100472-3f7f-4f80-8898-005ccf84b26f,en,20,MOTTOLA_SEAL.JPG,public://articles/promo/MOTTOLA_SEAL.JPG,image/jpeg,11306,1,1650436191,1650436191,MOTTOLA_SEAL.JPG
1589721,5ce0c616-fae1-4d38-8a1c-65f8bba583fa,en,20,OHARE_SEAL.JPG,public://articles/promo/OHARE_SEAL.JPG,image/jpeg,11042,1,1650436191,1650436191,OHARE_SEAL.JPG
1589726,d74fac50-be26-4849-b4d4-98cddf378d22,en,20,OMALLEY_SEAL.JPG,public://articles/promo/OMALLEY_SEAL.JPG,image/jpeg,9962,1,1650436191,1650436191,OMALLEY_SEAL.JPG
1589731,6e64a593-4655-47be-82c9-9d4960766ac5,en,20,PANETTA_SEAL.JPG,public://articles/promo/PANETTA_SEAL.JPG,image/jpeg,10673,1,1650436191,1650436191,PANETTA_SEAL.JPG
1589736,ea3db307-bedd-4dcb-a255-5778e71914d9,en,20,PESESKY_SEAL.JPG,public://articles/promo/PESESKY_SEAL.JPG,image/jpeg,9738,1,1650436191,1650436191,PESESKY_SEAL.JPG
1589741,e8b67ada-164a-441d-bdaa-a86230e6dbc4,en,20,SMITH_SEAL.JPG,public://articles/promo/SMITH_SEAL.JPG,image/jpeg,12256,1,1650436191,1650436191,SMITH_SEAL.JPG
1589746,6357f0a3-6e74-431d-b3a9-9e7dde4ab337,en,20,TIPPING_SEAL.JPG,public://articles/promo/TIPPING_SEAL.JPG,image/jpeg,11104,1,1650436191,1650436191,TIPPING_SEAL.JPG
1589751,6511977f-baf4-43d7-aeb2-0d08bf19892b,en,20,TORO_SEAL.JPG,public://articles/promo/TORO_SEAL.JPG,image/jpeg,11059,1,1650436191,1650436191,TORO_SEAL.JPG
1589756,4e8374f5-1cc1-4f63-ae17-3173e3c128a2,en,20,WILENSKY_SEAL.JPG,public://articles/promo/WILENSKY_SEAL.JPG,image/jpeg,11073,1,1650436191,1650436191,WILENSKY_SEAL.JPG
1589761,aa16155b-ab9f-40d9-ad44-eae4cb50d31c,en,20,WILLIAMS_SEAL.JPG,public://articles/promo/WILLIAMS_SEAL.JPG,image/jpeg,11444,1,1650436191,1650436191,WILLIAMS_SEAL.JPG
1589766,3b6fbe02-88e1-45c0-93f0-b10b824b0d5d,en,20,ZINGARO_SEAL.JPG,public://articles/promo/ZINGARO_SEAL.JPG,image/jpeg,11930,1,1650436191,1650436191,ZINGARO_SEAL.JPG
1589771,1ffebb02-0bab-4353-94dc-cbabf0b9607b,en,20,forthcoming_headshot_240.png,public://articles/promo/forthcoming_headshot_240.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240.png
1589776,b5ce51c1-fbdf-473a-a2ab-7a8cc4908fe4,en,17,"photo_John Perrone (Alesi).JPG","public://articles/promo/photo_John Perrone (Alesi).JPG",image/jpeg,10194,1,1650436191,1650436191,"photo_John Perrone (Alesi).JPG"
1589781,efe17cfe-e1e5-4558-b76d-7c13d18d6307,en,17,"photo_David J Clark (aubertine).jpg","public://articles/promo/photo_David J Clark (aubertine).jpg",image/jpeg,11878,1,1650436191,1650436191,"photo_David J Clark (aubertine).jpg"
1589786,48e74aab-5472-45b4-887d-2ef74c4f04e4,en,17,"photo_Kevin Ryan 1 (Bonacic).JPG","public://articles/promo/photo_Kevin Ryan 1 (Bonacic).JPG",image/jpeg,13260,1,1650436191,1650436191,"photo_Kevin Ryan 1 (Bonacic).JPG"
1589791,d3119db9-07d2-4930-89c9-0d4bdb17ea2e,en,20,forthcoming_headshot_240_3.png,public://articles/promo/forthcoming_headshot_240_3.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_3.png
1589796,d0b7cfc6-ad99-41c6-ac57-4cee7a03c3ed,en,20,forthcoming_headshot_240_4.png,public://articles/promo/forthcoming_headshot_240_4.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_4.png
1589801,a1be3e76-2cd3-4c56-9140-e58dec62d06e,en,17,"photo_Jeremy Torrisi (DeFrancisco).JPG","public://articles/promo/photo_Jeremy Torrisi (DeFrancisco).JPG",image/jpeg,7941,1,1650436191,1650436191,"photo_Jeremy Torrisi (DeFrancisco).JPG"
1589806,5c8fddbb-8e41-4b1c-85e5-2fe25ccdc901,en,20,forthcoming_headshot_240_6.png,public://articles/promo/forthcoming_headshot_240_6.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_6.png
1589811,ae25ed86-0cbb-4aa1-8fe7-be4b06248bc4,en,20,forthcoming_headshot_240_7.png,public://articles/promo/forthcoming_headshot_240_7.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_7.png
1589816,406f2f96-2426-4b6b-be0c-c0e6f2bd3a62,en,17,"photo_Charles Merriam 2 (Farley).JPG","public://articles/promo/photo_Charles Merriam 2 (Farley).JPG",image/jpeg,7986,1,1650436191,1650436191,"photo_Charles Merriam 2 (Farley).JPG"
1589821,be072b0e-b802-4ab8-9a81-522a0fa47806,en,92,"borowski head shot.jpg","public://articles/promo/borowski head shot.jpg",image/jpeg,8023,1,1650436191,1650436191,"borowski head shot.jpg"
1589826,57b965bd-f82e-4dfc-ad67-6aca72e3854c,en,17,"photo_Sam Stahlman (Foley).JPG","public://articles/promo/photo_Sam Stahlman (Foley).JPG",image/jpeg,9950,1,1650436191,1650436191,"photo_Sam Stahlman (Foley).JPG"
1589831,1e550679-8b32-4ce6-a0f8-0580ea8b4f5b,en,17,"photo_Robert Tom Riordan (Fuschillo).JPG","public://articles/promo/photo_Robert Tom Riordan (Fuschillo).JPG",image/jpeg,9797,1,1650436191,1650436191,"photo_Robert Tom Riordan (Fuschillo).JPG"
1589836,fada806f-edae-4117-81c4-bfff93445912,en,17,"photo_Ruben R Pratts 1 (Golden).JPG","public://articles/promo/photo_Ruben R Pratts 1 (Golden).JPG",image/jpeg,6233,1,1650436191,1650436191,"photo_Ruben R Pratts 1 (Golden).JPG"
1589841,04ad5b05-c228-4223-8928-b620b047dbb8,en,17,"photo_Charles Jeff Scherz (Griffo).JPG","public://articles/promo/photo_Charles Jeff Scherz (Griffo).JPG",image/jpeg,13490,1,1650436191,1650436191,"photo_Charles Jeff Scherz (Griffo).JPG"
1589846,d3d83956-b362-4e30-aad0-c974d225b6db,en,17,"photo_John Donovan 1 (Hannon).JPG","public://articles/promo/photo_John Donovan 1 (Hannon).JPG",image/jpeg,8468,1,1650436191,1650436191,"photo_John Donovan 1 (Hannon).JPG"
1589851,295474f7-06e8-4763-b69b-3efaddc60885,en,20,forthcoming_headshot_240_15.png,public://articles/promo/forthcoming_headshot_240_15.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_15.png
1589856,94498dcd-8825-4390-95e8-0a4d136cc53f,en,17,"Lester Muse Jr.jpg","public://articles/promo/Lester Muse Jr.jpg",image/jpeg,11891,1,1650436191,1650436191,"Lester Muse Jr.jpg"
1589861,fe8af8da-7654-4991-b5b7-a02668b37356,en,20,forthcoming_headshot_240_17.png,public://articles/promo/forthcoming_headshot_240_17.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_17.png
1589866,220ee2ea-49c4-40be-a685-725dfc14b0fd,en,17,"photo_Richard S Tibbetts (O Johnson).JPG","public://articles/promo/photo_Richard S Tibbetts (O Johnson).JPG",image/jpeg,7539,1,1650436191,1650436191,"photo_Richard S Tibbetts (O Johnson).JPG"
1589871,fc95b64f-000f-481e-84a3-890f26ba7ce4,en,20,forthcoming_headshot_240_19.png,public://articles/promo/forthcoming_headshot_240_19.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_19.png
1589876,fc0da02f-931d-40cf-9482-ce2477b457b1,en,17,"photo_Lester Modelowitz (Lanza).JPG","public://articles/promo/photo_Lester Modelowitz (Lanza).JPG",image/jpeg,5988,1,1650436191,1650436191,"photo_Lester Modelowitz (Lanza).JPG"
1589881,d7ac9a2e-e991-47f2-ad10-a46f0966062a,en,17,"photo_Anthony Zippo (Larkin).JPG","public://articles/promo/photo_Anthony Zippo (Larkin).JPG",image/jpeg,6753,1,1650436191,1650436191,"photo_Anthony Zippo (Larkin).JPG"
1589886,d1b38c64-eb86-4f85-a196-02d6aa1e28ac,en,17,"photo_Eugene McSherry (LaValle).JPG","public://articles/promo/photo_Eugene McSherry (LaValle).JPG",image/jpeg,10915,1,1650436191,1650436191,"photo_Eugene McSherry (LaValle).JPG"
1589891,7295ffe2-8ceb-4c16-bc6f-78347a766ac8,en,17,"photo_Joe Ceurter 2 (Libous).JPG","public://articles/promo/photo_Joe Ceurter 2 (Libous).JPG",image/jpeg,10694,1,1650436191,1650436191,"photo_Joe Ceurter 2 (Libous).JPG"
1589896,0c142792-50a2-41bc-ae6b-9d2d583f5d6c,en,17,"photo_Thomas Sharpe (McDonald).png","public://articles/promo/photo_Thomas Sharpe (McDonald).png",image/png,74187,1,1650436191,1650436191,"photo_Thomas Sharpe (McDonald).png"
1589901,41904310-c71c-40ed-8a35-8f283cc2a57b,en,69,"Rick Connors.jpg","public://articles/promo/Rick Connors.jpg",image/jpeg,13161,1,1650436191,1650436191,"Rick Connors.jpg"
1589906,87063c0e-82ef-48ea-96f3-61af681240c3,en,17,"photo_Ronald Tocci (Oppenheimer).JPG","public://articles/promo/photo_Ronald Tocci (Oppenheimer).JPG",image/jpeg,11820,1,1650436191,1650436191,"photo_Ronald Tocci (Oppenheimer).JPG"
1589911,bb3afbef-eac3-4660-b2eb-ba28182d6d1e,en,20,forthcoming_headshot_240_27.png,public://articles/promo/forthcoming_headshot_240_27.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_27.png
1589916,4718733a-5f48-4bfe-b070-77180cb6d474,en,20,forthcoming_headshot_240_28.png,public://articles/promo/forthcoming_headshot_240_28.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_28.png
1589921,5ab657c2-adf4-4e15-b134-09f8a0f928b7,en,17,"photo_Ralph Kring 2 (Saland).JPG","public://articles/promo/photo_Ralph Kring 2 (Saland).JPG",image/jpeg,9551,1,1650436191,1650436191,"photo_Ralph Kring 2 (Saland).JPG"
1589926,a00e00fc-4895-497e-9bb3-86f79df8234a,en,20,forthcoming_headshot_240_30.png,public://articles/promo/forthcoming_headshot_240_30.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_30.png
1589931,385b44d8-3003-48dc-86a4-378ea9905724,en,17,"photo_Chester Scerra (Seward).JPG","public://articles/promo/photo_Chester Scerra (Seward).JPG",image/jpeg,12400,1,1650436191,1650436191,"photo_Chester Scerra (Seward).JPG"
1589936,4c91a313-f6eb-46a3-a5e8-285506bdb0a4,en,17,"Photo_Thomas Seifert (Skelos).JPG","public://articles/promo/Photo_Thomas Seifert (Skelos).JPG",image/jpeg,11488,1,1650436191,1650436191,"Photo_Thomas Seifert (Skelos).JPG"
1589941,60f7db44-1b03-4ebe-8049-5b5fa7ee6772,en,20,forthcoming_headshot_240_33.png,public://articles/promo/forthcoming_headshot_240_33.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_33.png
1589946,9322aca3-4b61-4dc5-8712-b7ee976494c3,en,20,forthcoming_headshot_240_34.png,public://articles/promo/forthcoming_headshot_240_34.png,image/png,97426,1,1650436191,1650436191,forthcoming_headshot_240_34.png
1589951,b8ff5319-76e3-45b7-b478-cfc371ecf4fd,en,17,EliVetrano3.jpg,public://articles/promo/EliVetrano3.jpg,image/jpeg,9590,1,1650436191,1650436191,EliVetrano3.jpg
